batch_id,index,operation,status,error,message,entity_id,raw_input
44747,16,set_statement,Done,,,Q140795115,"Q140795115|P1343|Q140795181|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-35.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,17,set_statement,Done,,,Q140795116,"Q140795116|P1343|Q140795182|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-36.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,18,set_statement,Done,,,Q140795117,"Q140795117|P1343|Q140795183|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-38.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,19,set_statement,Done,,,Q140795118,"Q140795118|P1343|Q140795184|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-40.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,20,set_statement,Done,,,Q140795121,"Q140795121|P1343|Q140795185|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-48.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,21,set_statement,Done,,,Q140795122,"Q140795122|P1343|Q140795186|S854|""https://reproducibility.sigmod.org/rep_rep/2023/SIGMOD23ARIReport-49.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,22,set_statement,Done,,,Q140795125,"Q140795125|P1343|Q140795187|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Paparrizos-SIGMODReproReport4.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,23,set_statement,Done,,,Q140795126,"Q140795126|P1343|Q140795188|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Nikolic-SIGMODReproReport5.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,24,set_statement,Done,,,Q140795129,"Q140795129|P1343|Q140795189|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Zivanovic-SIGMODReproReport10.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,25,set_statement,Done,,,Q140795130,"Q140795130|P1343|Q140795190|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Raza-SIGMODReproReport11.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,26,set_statement,Done,,,Q140795131,"Q140795131|P1343|Q140795191|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Pandey-SIGMODReproReport17.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,27,set_statement,Done,,,Q140795132,"Q140795132|P1343|Q140795192|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Kondylakis-SIGMODReproReport20.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,28,set_statement,Done,,,Q140795133,"Q140795133|P1343|Q140795193|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Carbone-SIGMODReproReport23.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,29,set_statement,Done,,,Q140795134,"Q140795134|P1343|Q140795194|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Tang-SIGMODReproReport24.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,30,set_statement,Done,,,Q140795135,"Q140795135|P1343|Q140795195|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Wasay-SIGMODReproReport25.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,31,set_statement,Done,,,Q140795136,"Q140795136|P1343|Q140795196|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Dayan-SIGMODReproReport26.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,32,set_statement,Done,,,Q140795137,"Q140795137|P1343|Q140795197|S854|""https://reproducibility.sigmod.org/rep_rep/2022/Nargesian-SIGMODReproReport22.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,33,set_statement,Done,,,Q140795140,"Q140795140|P1343|Q140795198|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Cudre-Mauroux-SIGMODReproReport2.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,34,set_statement,Done,,,Q140795141,"Q140795141|P1343|Q140795199|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Petrov-SIGMODReproReport3.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,35,set_statement,Done,,,Q140795142,"Q140795142|P1343|Q140795200|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Wang-SIGMODReproReport9.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,36,set_statement,Done,,,Q140795143,"Q140795143|P1343|Q140795201|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Kondylakis-SIGMODReproReport24.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,37,set_statement,Done,,,Q140795144,"Q140795144|P1343|Q140795203|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Abedjan-SIGMODReproReport25.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,38,set_statement,Done,,,Q140795145,"Q140795145|P1343|Q140795204|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Kalavri-SIGMODReproReport12.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,39,set_statement,Done,,,Q140795147,"Q140795147|P1343|Q140795207|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Wu-SIGMODReproReport17.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,40,set_statement,Done,,,Q140795148,"Q140795148|P1343|Q140795208|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Zivanovic-SIGMODReproReport20.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,41,set_statement,Done,,,Q140795150,"Q140795150|P1343|Q140795209|S854|""https://reproducibility.sigmod.org/rep_rep/2021/Blanas-SIGMODReproReport22.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,42,set_statement,Done,,,Q140795154,"Q140795154|P1343|Q140795210|S854|""https://reproducibility.sigmod.org/rep_rep/2020/RR-7.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,43,set_statement,Done,,,Q140795155,"Q140795155|P1343|Q140795211|S854|""https://reproducibility.sigmod.org/rep_rep/2020/RR-6.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,44,set_statement,Done,,,Q140795156,"Q140795156|P1343|Q140795212|S854|""https://reproducibility.sigmod.org/rep_rep/2020/RR-14.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,45,set_statement,Done,,,Q140795157,"Q140795157|P1343|Q140795213|S854|""https://reproducibility.sigmod.org/rep_rep/2020/RR-8.pdf""|S813|+2026-06-18T00:00:00Z/11"
44747,46,set_statement,Done,,,Q140795158,"Q140795158|P1343|Q140795214|S854|""https://reproducibility.sigmod.org/rep_rep/2020/RR-13.pdf""|S813|+2026-06-18T00:00:00Z/11"
