batch_id,index,operation,status,error,message,entity_id,raw_input
44742,42,set_statement,Done,,,Q140794615,"Q140794615|P1343|Q140794892|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.cm_fds""|S813|+2026-06-18T00:00:00Z/11"
44742,43,set_statement,Done,,,Q140794892,"Q140794892|P921|Q140794616|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.cm_fds""|S813|+2026-06-18T00:00:00Z/11"
44742,44,set_statement,Done,,,Q140794616,"Q140794616|P1343|Q140794892|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.cm_fds""|S813|+2026-06-18T00:00:00Z/11"
44742,45,set_statement,Done,,,Q140794617,"Q140794617|P1343|Q140794893|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2018.236""|S813|+2026-06-18T00:00:00Z/11"
44742,46,set_statement,Done,,,Q140794618,"Q140794618|P1343|Q140794894|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.216""|S813|+2026-06-18T00:00:00Z/11"
44742,47,set_statement,Done,,,Q140794619,"Q140794619|P1343|Q140794895|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.20""|S813|+2026-06-18T00:00:00Z/11"
44742,48,set_statement,Done,,,Q140794620,"Q140794620|P1343|Q140794896|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2018.47""|S813|+2026-06-18T00:00:00Z/11"
44742,49,set_statement,Done,,,Q140794621,"Q140794621|P1343|Q140794897|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.59""|S813|+2026-06-18T00:00:00Z/11"
44742,50,set_statement,Done,,,Q140794622,"Q140794622|P1343|Q140794898|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.277""|S813|+2026-06-18T00:00:00Z/11"
44742,51,set_statement,Done,,,Q140794623,"Q140794623|P1343|Q140794899|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2019.278""|S813|+2026-06-18T00:00:00Z/11"
44742,52,set_statement,Done,,,Q140794625,"Q140794625|P1343|Q140794900|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2017.214""|S813|+2026-06-18T00:00:00Z/11"
44742,53,set_statement,Done,,,Q140794628,"Q140794628|P1343|Q140794901|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2022.357""|S813|+2026-06-18T00:00:00Z/11"
44742,54,set_statement,Done,,,Q140794629,"Q140794629|P1343|Q140794902|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2016.172""|S813|+2026-06-18T00:00:00Z/11"
