batch_id,index,operation,status,error,message,entity_id,raw_input
44920,78,remove_statement_by_value,Done,,,Q127119200,"-Q127119200|P356|""10.1016/j.softx.2019.100335"""
44920,79,remove_statement_by_value,Done,,,Q127155320,"-Q127155320|P356|""10.1016/j.softx.2019.100329"""
44920,80,remove_statement_by_value,Done,,,Q125823541,"-Q125823541|P356|""10.1016/j.softx.2019.100345"""
44920,81,remove_statement_by_value,Done,,,Q128941830,"-Q128941830|P356|""10.1016/j.softx.2018.10.004"""
44920,82,remove_statement_by_value,Done,,,Q126856742,"-Q126856742|P356|""10.1016/j.softx.2019.100347"""
44920,83,remove_statement_by_value,Done,,,Q126978385,"-Q126978385|P356|""10.1016/j.softx.2019.100349"""
44920,84,remove_statement_by_value,Done,,,Q126865685,"-Q126865685|P356|""10.1016/j.softx.2019.100355"""
44920,85,remove_statement_by_value,Done,,,Q121463489,"-Q121463489|P356|""10.1016/j.softx.2019.100353"""
44920,86,remove_statement_by_value,Done,,,Q114658344,"-Q114658344|P356|""10.1016/j.softx.2019.100361"""
44920,87,remove_statement_by_value,Done,,,Q115036788,"-Q115036788|P356|""10.1016/j.softx.2019.100369"""
44920,88,remove_statement_by_value,Done,,,Q115036789,"-Q115036789|P356|""10.1016/j.softx.2019.100365"""
44920,89,remove_statement_by_value,Done,,,Q121306985,"-Q121306985|P356|""10.1016/j.softx.2019.100383"""
44920,90,remove_statement_by_value,Done,,,Q126587340,"-Q126587340|P356|""10.1016/j.softx.2019.100377"""
44920,91,remove_statement_by_value,Done,,,Q126431938,"-Q126431938|P356|""10.1016/j.softx.2019.100393"""
44920,92,remove_statement_by_value,Done,,,Q126334844,"-Q126334844|P356|""10.1016/j.softx.2020.100397"""
44920,93,remove_statement_by_value,Done,,,Q126319357,"-Q126319357|P356|""10.1016/j.softx.2020.100400"""
44920,94,remove_statement_by_value,Done,,,Q123203867,"-Q123203867|P356|""10.1016/j.softx.2020.100405"""
44920,95,remove_statement_by_value,Done,,,Q126594428,"-Q126594428|P356|""10.1016/j.softx.2019.100364"""
44920,96,remove_statement_by_value,Done,,,Q124813979,"-Q124813979|P356|""10.1016/j.softx.2020.100409"""
44920,97,remove_statement_by_value,Done,,,Q115036782,"-Q115036782|P356|""10.1016/j.softx.2020.100403"""
44920,98,remove_statement_by_value,Done,,,Q126210675,"-Q126210675|P356|""10.1016/j.softx.2019.100395"""
44920,99,remove_statement_by_value,Done,,,Q115036787,"-Q115036787|P356|""10.1016/j.softx.2019.100391"""
44920,100,remove_statement_by_value,Done,,,Q126461343,"-Q126461343|P356|""10.1016/j.softx.2019.100389"""
44920,101,remove_statement_by_value,Done,,,Q123286202,"-Q123286202|P356|""10.1016/j.softx.2020.100450"""
44920,102,remove_statement_by_value,Done,,,Q115036781,"-Q115036781|P356|""10.1016/j.softx.2020.100442"""
44920,103,remove_statement_by_value,Done,,,Q115036780,"-Q115036780|P356|""10.1016/j.softx.2020.100458"""
44920,104,remove_statement_by_value,Done,,,Q126526723,"-Q126526723|P356|""10.1016/j.softx.2019.100359"""
44920,105,remove_statement_by_value,Done,,,Q122128030,"-Q122128030|P356|""10.1016/j.softx.2020.100461"""
44920,106,remove_statement_by_value,Done,,,Q113324857,"-Q113324857|P356|""10.1016/j.softx.2020.100478"""
44920,107,remove_statement_by_value,Done,,,Q121724949,"-Q121724949|P356|""10.1016/j.softx.2020.100436"""
44920,108,remove_statement_by_value,Done,,,Q118738219,"-Q118738219|P356|""10.1016/j.softx.2020.100506"""
44920,109,remove_statement_by_value,Done,,,Q121176286,"-Q121176286|P356|""10.1016/j.softx.2020.100526"""
44920,110,remove_statement_by_value,Done,,,Q121461017,"-Q121461017|P356|""10.1016/j.softx.2020.100517"""
44920,111,remove_statement_by_value,Done,,,Q122452366,"-Q122452366|P356|""10.1016/j.softx.2020.100525"""
44920,112,remove_statement_by_value,Done,,,Q114826288,"-Q114826288|P356|""10.1016/j.softx.2020.100516"""
44920,113,remove_statement_by_value,Done,,,Q122910184,"-Q122910184|P356|""10.1016/j.softx.2020.100518"""
44920,114,remove_statement_by_value,Done,,,Q125839977,"-Q125839977|P356|""10.1016/j.softx.2020.100539"""
44920,115,remove_statement_by_value,Done,,,Q115036778,"-Q115036778|P356|""10.1016/j.softx.2020.100550"""
44920,116,remove_statement_by_value,Done,,,Q125290780,"-Q125290780|P356|""10.1016/j.softx.2020.100559"""
44920,117,remove_statement_by_value,Done,,,Q115036775,"-Q115036775|P356|""10.1016/j.softx.2020.100561"""
44920,118,remove_statement_by_value,Done,,,Q115036770,"-Q115036770|P356|""10.1016/j.softx.2020.100579"""
44920,119,remove_statement_by_value,Done,,,Q115036771,"-Q115036771|P356|""10.1016/j.softx.2020.100576"""
44920,120,remove_statement_by_value,Done,,,Q121008127,"-Q121008127|P356|""10.1016/j.softx.2020.100590"""
44920,121,remove_statement_by_value,Done,,,Q123023987,"-Q123023987|P356|""10.1016/j.softx.2020.100595"""
44920,122,remove_statement_by_value,Done,,,Q122657731,"-Q122657731|P356|""10.1016/j.softx.2020.100608"""
44920,123,remove_statement_by_value,Done,,,Q115036765,"-Q115036765|P356|""10.1016/j.softx.2020.100618"""
44920,124,remove_statement_by_value,Done,,,Q122908810,"-Q122908810|P356|""10.1016/j.softx.2020.100632"""
44920,125,remove_statement_by_value,Done,,,Q115036764,"-Q115036764|P356|""10.1016/j.softx.2020.100639"""
44920,126,remove_statement_by_value,Done,,,Q115036763,"-Q115036763|P356|""10.1016/j.softx.2020.100645"""
44920,127,remove_statement_by_value,Done,,,Q114131299,"-Q114131299|P356|""10.1016/j.softx.2020.100651"""
44920,128,remove_statement_by_value,Done,,,Q120987895,"-Q120987895|P356|""10.1016/j.softx.2021.100657"""
44920,129,remove_statement_by_value,Done,,,Q122409411,"-Q122409411|P356|""10.1016/j.softx.2021.100663"""
44920,130,remove_statement_by_value,Done,,,Q134053254,"-Q134053254|P356|""10.1016/j.softx.2021.100675"""
44920,131,remove_statement_by_value,Done,,,Q121088276,"-Q121088276|P356|""10.1016/j.softx.2021.100699"""
44920,132,remove_statement_by_value,Done,,,Q114384364,"-Q114384364|P356|""10.1016/j.softx.2021.100696"""
44920,133,remove_statement_by_value,Done,,,Q113287207,"-Q113287207|P356|""10.1016/j.softx.2021.100712"""
44920,134,remove_statement_by_value,Done,,,Q115036759,"-Q115036759|P356|""10.1016/j.softx.2021.100729"""
44920,135,remove_statement_by_value,Done,,,Q113287206,"-Q113287206|P356|""10.1016/j.softx.2021.100720"""
44920,136,remove_statement_by_value,Done,,,Q125338652,"-Q125338652|P356|""10.1016/j.softx.2021.100725"""
44920,137,remove_statement_by_value,Done,,,Q114658342,"-Q114658342|P356|""10.1016/j.softx.2021.100733"""
44920,138,remove_statement_by_value,Done,,,Q136918101,"-Q136918101|P356|""10.1016/j.softx.2021.100717"""
44920,139,remove_statement_by_value,Done,,,Q113287204,"-Q113287204|P356|""10.1016/j.softx.2021.100741"""
44920,140,remove_statement_by_value,Done,,,Q113287203,"-Q113287203|P356|""10.1016/j.softx.2021.100745"""
44920,141,remove_statement_by_value,Done,,,Q123124063,"-Q123124063|P356|""10.1016/j.softx.2021.100761"""
44920,142,remove_statement_by_value,Done,,,Q136769069,"-Q136769069|P356|""10.1016/j.softx.2021.100777"""
44920,143,remove_statement_by_value,Done,,,Q113287201,"-Q113287201|P356|""10.1016/j.softx.2021.100801"""
44920,144,remove_statement_by_value,Done,,,Q113287200,"-Q113287200|P356|""10.1016/j.softx.2021.100805"""
44920,145,remove_statement_by_value,Done,,,Q113287197,"-Q113287197|P356|""10.1016/j.softx.2021.100823"""
44920,146,remove_statement_by_value,Done,,,Q113287198,"-Q113287198|P356|""10.1016/j.softx.2021.100815"""
44920,147,remove_statement_by_value,Done,,,Q118145845,"-Q118145845|P356|""10.1016/j.softx.2021.100832"""
44920,148,remove_statement_by_value,Done,,,Q113287195,"-Q113287195|P356|""10.1016/j.softx.2021.100834"""
44920,149,remove_statement_by_value,Done,,,Q113287191,"-Q113287191|P356|""10.1016/j.softx.2021.100879"""
44920,150,remove_statement_by_value,Done,,,Q115036751,"-Q115036751|P356|""10.1016/j.softx.2021.100877"""
44920,151,remove_statement_by_value,Done,,,Q115036753,"-Q115036753|P356|""10.1016/j.softx.2021.100861"""
44920,152,remove_statement_by_value,Done,,,Q122394670,"-Q122394670|P356|""10.1016/j.softx.2021.100871"""
44920,153,remove_statement_by_value,Done,,,Q115036752,"-Q115036752|P356|""10.1016/j.softx.2021.100869"""
