batch_id,index,operation,status,error,message,entity_id,raw_input
44744,257,set_statement,Done,,,Q140794954,"Q140794954|P2093|""Pierre Evenou""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.68""|S813|+2026-06-18T00:00:00Z/11"
44744,258,set_statement,Done,,,Q140794954,"Q140794954|P2093|""Aurore Arlicot""|P1545|""4""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.68""|S813|+2026-06-18T00:00:00Z/11"
44744,259,set_statement,Done,,,Q140794956,"Q140794956|P2093|""Javier Sánchez""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2016.153""|S813|+2026-06-18T00:00:00Z/11"
44744,260,set_statement,Done,,,Q140794957,"Q140794957|P2093|""Pascal Getreuer""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2012.g-ace""|S813|+2026-06-18T00:00:00Z/11"
44744,261,set_statement,Done,,,Q140794958,"Q140794958|P2093|""Joan Duran""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.61""|S813|+2026-06-18T00:00:00Z/11"
44744,262,set_statement,Done,,,Q140794958,"Q140794958|P2093|""Bartomeu Coll""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.61""|S813|+2026-06-18T00:00:00Z/11"
44744,263,set_statement,Done,,,Q140794958,"Q140794958|P2093|""Catalina Sbert""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.61""|S813|+2026-06-18T00:00:00Z/11"
44744,264,set_statement,Done,,,Q140794959,"Q140794959|P2093|""Marc Lebrun""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.125""|S813|+2026-06-18T00:00:00Z/11"
44744,265,set_statement,Done,,,Q140794959,"Q140794959|P2093|""Miguel Colom""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.125""|S813|+2026-06-18T00:00:00Z/11"
44744,266,set_statement,Done,,,Q140794959,"Q140794959|P2093|""Jean-Michel Morel""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2015.125""|S813|+2026-06-18T00:00:00Z/11"
44744,267,set_statement,Done,,,Q140794960,"Q140794960|P2093|""Mauricio Delbracio""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.77""|S813|+2026-06-18T00:00:00Z/11"
44744,268,set_statement,Done,,,Q140794960,"Q140794960|P2093|""Andrés Almansa""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.77""|S813|+2026-06-18T00:00:00Z/11"
44744,269,set_statement,Done,,,Q140794960,"Q140794960|P2093|""Pablo Musé""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.77""|S813|+2026-06-18T00:00:00Z/11"
44744,270,set_statement,Done,,,Q140794961,"Q140794961|P2093|""Jérémy Anger""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.197""|S813|+2026-06-18T00:00:00Z/11"
44744,271,set_statement,Done,,,Q140794961,"Q140794961|P2093|""Enric Meinhardt-Llopis""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.197""|S813|+2026-06-18T00:00:00Z/11"
44744,272,set_statement,Done,,,Q140794962,"Q140794962|P2093|""Bertrand Kerautret""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.75""|S813|+2026-06-18T00:00:00Z/11"
44744,273,set_statement,Done,,,Q140794962,"Q140794962|P2093|""Jacques-Olivier Lachaud""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2014.75""|S813|+2026-06-18T00:00:00Z/11"
44744,274,set_statement,Done,,,Q140794963,"Q140794963|P2093|""Javier Sánchez Pérez""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.21""|S813|+2026-06-18T00:00:00Z/11"
44744,275,set_statement,Done,,,Q140794963,"Q140794963|P2093|""Nelson Monzón López""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.21""|S813|+2026-06-18T00:00:00Z/11"
44744,276,set_statement,Done,,,Q140794963,"Q140794963|P2093|""Agustín Salgado de la Nuez""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2013.21""|S813|+2026-06-18T00:00:00Z/11"
44744,277,set_statement,Done,,,Q140794964,"Q140794964|P2093|""Thibaud Briand""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2019.273""|S813|+2026-06-18T00:00:00Z/11"
44744,278,set_statement,Done,,,Q140794965,"Q140794965|P2093|""Jose-Luis Lisani""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.391""|S813|+2026-06-18T00:00:00Z/11"
44744,279,set_statement,Done,,,Q140794965,"Q140794965|P2093|""Ana-Belén Petro""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.391""|S813|+2026-06-18T00:00:00Z/11"
44744,280,set_statement,Done,,,Q140794965,"Q140794965|P2093|""Catalina Sbert""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2021.391""|S813|+2026-06-18T00:00:00Z/11"
44744,281,set_statement,Done,,,Q140794966,"Q140794966|P2093|""Thibaud Ehret""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2019.263""|S813|+2026-06-18T00:00:00Z/11"
44744,282,set_statement,Done,,,Q140794966,"Q140794966|P2093|""Axel Davy""|P1545|""2""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2019.263""|S813|+2026-06-18T00:00:00Z/11"
44744,283,set_statement,Done,,,Q140794966,"Q140794966|P2093|""Mauricio Delbracio""|P1545|""3""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2019.263""|S813|+2026-06-18T00:00:00Z/11"
44744,284,set_statement,Done,,,Q140794966,"Q140794966|P2093|""Jean-Michel Morel""|P1545|""4""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2019.263""|S813|+2026-06-18T00:00:00Z/11"
44744,285,set_statement,Done,,,Q140794967,"Q140794967|P2093|""Nicola Pierazzo""|P1545|""1""|S248|Q5188229|S854|""https://api.crossref.org/works/10.5201/ipol.2017.201""|S813|+2026-06-18T00:00:00Z/11"
