article_doi,venue,series_ordinal_P1545,author_name_P2093
10.21105/joss.04942,JOSS,1,Nicolas T. Kurtovic
10.21105/joss.01970,JOSS,1,Matheus de Moraes
10.21105/joss.01970,JOSS,2,André Gradvohl
10.21105/joss.03082,JOSS,1,Vincent Russo
10.21105/joss.01252,JOSS,1,Amir Mir
10.21105/joss.01252,JOSS,2,Jalal Nasiri
10.21105/joss.06306,JOSS,1,Saipraneeth Devunuri
10.21105/joss.06306,JOSS,2,Lewis Lehe
10.21105/joss.08333,JOSS,1,Nerea Piñeiro-Juncal
10.21105/joss.08333,JOSS,2,Julen Astigarraga
10.21105/joss.08333,JOSS,3,Valentina Costa
10.21105/joss.08333,JOSS,4,Márcio Martins
10.21105/joss.08333,JOSS,5,Francisco Rodríguez-Sánchez
10.21105/joss.09774,JOSS,1,Seth Stadick
10.21105/joss.09093,JOSS,1,Jon Nordby
10.21105/joss.03313,JOSS,1,Amanda Smith
10.21105/joss.03313,JOSS,2,Benjamin St&amp;uuml;rmer
10.21105/joss.03313,JOSS,3,Travis Thurber
10.21105/joss.03313,JOSS,4,Chris Vernon
10.21105/joss.02403,JOSS,1,Sam Ritchie
10.21105/joss.02403,JOSS,2,Ambrose Slone
10.21105/joss.02403,JOSS,3,Vinay Ramasesh
10.21105/joss.00634,JOSS,1,Fei Xiang
10.21105/joss.00634,JOSS,2,Bethany Dearlove
10.21105/joss.00634,JOSS,3,Simon Frost
10.21105/joss.06427,JOSS,1,Remie Janssen
10.21105/joss.08389,JOSS,1,Wentao Zhan
10.21105/joss.08389,JOSS,2,Abhirup Datta
10.21105/joss.08110,JOSS,1,Olivier Ali
10.21105/joss.00767,JOSS,1,Ruud van der Ham
10.21105/joss.07306,JOSS,1,Tongzhou Xu
10.21105/joss.07306,JOSS,2,Henk C. den Bakker
10.21105/joss.07306,JOSS,3,Xiangyu Deng
10.21105/joss.07306,JOSS,4,Lee S. Katz
10.21105/joss.06220,JOSS,1,Mengbing Li
10.21105/joss.06220,JOSS,2,Bolin Wu
10.21105/joss.06220,JOSS,3,Briana Stephenson
10.21105/joss.06220,JOSS,4,Zhenke Wu
10.21105/joss.02608,JOSS,1,Siavash Yasini
10.21105/joss.02608,JOSS,2,Marcelo Alvarez
10.21105/joss.02608,JOSS,3,Emmanuel Schaan
10.21105/joss.02608,JOSS,4,Karime Maamari
10.21105/joss.02608,JOSS,5,Shobeir Mazinani
10.21105/joss.02608,JOSS,6,Nareg Mirzatuny
10.21105/joss.02608,JOSS,7,Elena Pierpaoli
10.21105/joss.03539,JOSS,1,Giovanni Charles
10.21105/joss.03539,JOSS,2,Sean Wu
10.21105/joss.09218,JOSS,1,James A. Labyer
10.21105/joss.09218,JOSS,2,Erik Ferlanti
10.21105/joss.09218,JOSS,3,Martha Campbell-Thompson
10.21105/joss.09218,JOSS,4,Clayton E. Mathews
10.21105/joss.09218,JOSS,5,Wei-Jun Qian
10.21105/joss.09218,JOSS,6,James P. Carson
10.21105/joss.00085,JOSS,1,Manuel Holtgrewe
10.21105/joss.00085,JOSS,2,Dieter Beule
10.21105/joss.08249,JOSS,1,Alasdair Neil Warwick
10.21105/joss.08249,JOSS,2,Benjamin Zuckerman
10.21105/joss.08249,JOSS,3,Chuin Ying Ung
10.21105/joss.08249,JOSS,4,Robert Luben
10.21105/joss.08249,JOSS,5,Abraham Olvera-Barrios
10.21105/joss.02727,JOSS,1,Oliver Maier
10.21105/joss.02727,JOSS,2,Stefan Spann
10.21105/joss.02727,JOSS,3,Markus Bödenler
10.21105/joss.02727,JOSS,4,Rudolf Stollberger
10.21105/joss.05467,JOSS,1,KJ Schmidt
10.21105/joss.05467,JOSS,2,Aristana Scourtas
10.21105/joss.05467,JOSS,3,Logan Ward
10.21105/joss.05467,JOSS,4,Steve Wangen
10.21105/joss.05467,JOSS,5,Marcus Schwarting
10.21105/joss.05467,JOSS,6,Isaac Darling
10.21105/joss.05467,JOSS,7,Ethan Truelove
10.21105/joss.05467,JOSS,8,Aadit Ambadkar
10.21105/joss.05467,JOSS,9,Ribhav Bose
10.21105/joss.05467,JOSS,10,Zoa Katok
10.21105/joss.05467,JOSS,11,Jingrui Wei
10.21105/joss.05467,JOSS,12,Xiangguo Li
10.21105/joss.05467,JOSS,13,Ryan Jacobs
10.21105/joss.05467,JOSS,14,Lane Schultz
10.21105/joss.05467,JOSS,15,Doyeon Kim
10.21105/joss.05467,JOSS,16,Michael Ferris
10.21105/joss.05467,JOSS,17,Paul M. Voyles
10.21105/joss.05467,JOSS,18,Dane Morgan
10.21105/joss.05467,JOSS,19,Ian Foster
10.21105/joss.05467,JOSS,20,Ben Blaiszik
10.21105/joss.04033,JOSS,1,Kelly A. Douglass
10.21105/joss.04033,JOSS,2,Dahlia Veyrat
10.21105/joss.04033,JOSS,3,Stephen W. O’Neill Jr.
10.21105/joss.04033,JOSS,4,Segev BenZvi
10.21105/joss.04033,JOSS,5,Fatima Zaidouni
10.21105/joss.04033,JOSS,6,Michaela Guzzetti
10.21105/joss.04593,JOSS,1,Paul Ortmann
10.21105/joss.04593,JOSS,2,Chris M. J. Tampère
10.21105/joss.01906,JOSS,1,Kenneth Ho
10.21105/joss.01857,JOSS,1,Hugo Gruson
10.21105/joss.01857,JOSS,2,Thomas White
10.21105/joss.01857,JOSS,3,Rafael Maia
10.21105/joss.05694,JOSS,1,Gurjeet Sangra Singh
10.21105/joss.05694,JOSS,2,Luigi Acerbi
10.21105/joss.00045,JOSS,1,Samuel Hinton
10.21105/joss.04367,JOSS,1,Jonah M. Miller
10.21105/joss.04367,JOSS,2,Daniel Holladay
10.21105/joss.04367,JOSS,3,Chad D. Meyer
10.21105/joss.04367,JOSS,4,Joshua C. Dolence
10.21105/joss.04367,JOSS,5,Sriram Swaminarayan
10.21105/joss.04367,JOSS,6,Christopher M. Mauney
10.21105/joss.04367,JOSS,7,Karen Tsai
10.21105/joss.08879,JOSS,1,Maxim Moraru
10.21105/joss.08879,JOSS,2,Weiyi Xia
10.21105/joss.08879,JOSS,3,Zhuo Ye
10.21105/joss.08879,JOSS,4,Feng Zhang
10.21105/joss.08879,JOSS,5,Yongxin Yao
10.21105/joss.08879,JOSS,6,Ying Wai Li
10.21105/joss.08879,JOSS,7,Cai-Zhuang Wang
10.21105/joss.06912,JOSS,1,M. P. van der Schelling
10.21105/joss.06912,JOSS,2,B. P. Ferreira
10.21105/joss.06912,JOSS,3,M. A. Bessa
10.21105/joss.06710,JOSS,1,Gaël Forget
10.21105/joss.09368,JOSS,1,Subhajit Kar
10.21105/joss.09950,JOSS,1,Mohammed Ali
10.21105/joss.09950,JOSS,2,Ali Ezzat
10.21105/joss.07151,JOSS,1,Joan Maspons
10.21105/joss.08497,JOSS,1,Benjamin Smith
10.21105/joss.08497,JOSS,2,Jianhui Gao
10.21105/joss.08497,JOSS,3,Benson Chou
10.21105/joss.08497,JOSS,4,Jessica Gronsbell
10.21105/joss.08781,JOSS,1,Joshua W. Lambert
10.21105/joss.08781,JOSS,2,Adam J. Kucharski
10.21105/joss.08781,JOSS,3,Carmen Tamayo Cuartero
10.21105/joss.03771,JOSS,1,Pak Li
10.21105/joss.03771,JOSS,2,Andrew Cunningham
10.21105/joss.03771,JOSS,3,Brandt Gaches
10.21105/joss.03771,JOSS,4,Richard Klein
10.21105/joss.03771,JOSS,5,Mark Krumholz
10.21105/joss.03771,JOSS,6,Aaron Lee
10.21105/joss.03771,JOSS,7,Christopher McKee
10.21105/joss.03771,JOSS,8,Stella Offner
10.21105/joss.03771,JOSS,9,Anna Rosen
10.21105/joss.03771,JOSS,10,Aaron Skinner
10.21105/joss.05995,JOSS,1,Andrew S. Rosen
10.21105/joss.05995,JOSS,2,Max Gallant
10.21105/joss.05995,JOSS,3,Janine George
10.21105/joss.05995,JOSS,4,Janosh Riebesell
10.21105/joss.05995,JOSS,5,Hrushikesh Sahasrabuddhe
10.21105/joss.05995,JOSS,6,Jimmy-Xuan Shen
10.21105/joss.05995,JOSS,7,Mingjian Wen
10.21105/joss.05995,JOSS,8,Matthew L. Evans
10.21105/joss.05995,JOSS,9,Guido Petretto
10.21105/joss.05995,JOSS,10,David Waroquiers
10.21105/joss.05995,JOSS,11,Gian-Marco Rignanese
10.21105/joss.05995,JOSS,12,Kristin A. Persson
10.21105/joss.05995,JOSS,13,Anubhav Jain
10.21105/joss.05995,JOSS,14,Alex M. Ganose
10.21105/joss.02804,JOSS,1,Tristan Salles
10.21105/joss.02804,JOSS,2,Claire Mallard
10.21105/joss.02804,JOSS,3,Sabin Zahirovic
10.21105/joss.03210,JOSS,1,Jens Lange
10.21105/joss.10104,JOSS,1,A Samuel Pottinger
10.21105/joss.10104,JOSS,2,Balaji Natarajan
10.21105/joss.10104,JOSS,3,Magali de Bruyn
10.21105/joss.10104,JOSS,4,Ciera C. Martinez
10.21105/joss.05026,JOSS,1,Ryan R. Curtin
10.21105/joss.05026,JOSS,2,Marcus Edel
