article_doi,venue,series_ordinal_P1545,author_name_P2093
10.5201/ipol.2021.352,IPOL,5,Gabriele Facciolo
10.5201/ipol.2018.187,IPOL,1,Tristan Dagobert
10.5201/ipol.2019.217,IPOL,1,Tristan Dagobert
10.5201/ipol.2019.217,IPOL,2,Nelson Monzón
10.5201/ipol.2019.217,IPOL,3,Javier Sánchez
10.5201/ipol.2013.45,IPOL,1,Miguel Colom
10.5201/ipol.2013.45,IPOL,2,Antoni Buades
10.5201/ipol.2017.207,IPOL,1,Odyssee Merveille
10.5201/ipol.2017.207,IPOL,2,Benoît Naegel
10.5201/ipol.2017.207,IPOL,3,Hugues Talbot
10.5201/ipol.2017.207,IPOL,4,Laurent Najman
10.5201/ipol.2017.207,IPOL,5,Nicolas Passat
10.5201/ipol.2018.224,IPOL,1,Antoni Buades
10.5201/ipol.2018.224,IPOL,2,Jose-Luis Lisani
10.5201/ipol.2019.248,IPOL,1,Laura F. Julià
10.5201/ipol.2019.248,IPOL,2,Pascal Monasse
10.5201/ipol.2019.248,IPOL,3,Marc Pierrot-Deseilligny
10.5201/ipol.2022.369,IPOL,1,Florian Delconte
10.5201/ipol.2022.369,IPOL,2,Phuc Ngo
10.5201/ipol.2022.369,IPOL,3,Bertrand Kerautret
10.5201/ipol.2022.369,IPOL,4,Isabelle Debled-Rennesson
10.5201/ipol.2022.369,IPOL,5,Van-Tho Nguyen
10.5201/ipol.2022.369,IPOL,6,Thiery Constant
10.5201/ipol.2022.425,IPOL,1,Roland Akiki
10.5201/ipol.2022.425,IPOL,2,Carlo de Franchis
10.5201/ipol.2022.425,IPOL,3,Gabriele Facciolo
10.5201/ipol.2022.425,IPOL,4,Jean-Michel Morel
10.5201/ipol.2022.425,IPOL,5,Raphaël Grandin
10.5201/ipol.2019.226,IPOL,1,Fabien Feschet
10.5201/ipol.2024.494,IPOL,1,Sylvain W. Combettes
10.5201/ipol.2024.494,IPOL,2,Paul Boniol
10.5201/ipol.2024.494,IPOL,3,Antoine Mazarguil
10.5201/ipol.2024.494,IPOL,4,Danping Wang
10.5201/ipol.2024.494,IPOL,5,Diego Vaquero-Ramos
10.5201/ipol.2024.494,IPOL,6,Marion Chauveau
10.5201/ipol.2024.494,IPOL,7,Laurent Oudre
10.5201/ipol.2024.494,IPOL,8,Nicolas Vayatis
10.5201/ipol.2024.494,IPOL,9,Pierre-Paul Vidal
10.5201/ipol.2024.494,IPOL,10,Alexandra Roren
10.5201/ipol.2024.494,IPOL,11,Marie-Martine Lefèvre-Colau
10.5201/ipol.2022.398,IPOL,1,Séverine Affeldt
10.5201/ipol.2022.398,IPOL,2,Lazhar Labiod
